absoluto	absolute
despertar	to wake up, arouse
destacar	to emphasize, stand out
discutir	to argue, discuss
disponer	to have means, dispose
distinguir	to distinguish
dominar	to dominate, master
durar	to last
emplear	to employ
enfrentar	to confront, face
enseñar	to teach, show
entregar	to deliver
enviar	to send
escapar	to escape
establecer	to establish
exigir	to demand
exponer	to expound, expose
expresar	to express
extender	to extend, spread
faltar	to be lacking
firmar	to sign
funcionar	to work, function
guardar	to keep, save
identificar	to identify
impedir	to prevent, hinder
imponer	to impose, enforce
incluir	to include
informar	to inform
iniciar	to initiate, start
insistir	to insist on
instalar	to install
interpretar	to interpret
intervenir	to intervene
introducir	to introduce, bring in
lanzar	to throw (violently), to hurl [also arrojar]
llenar	to fill
mandar	to send, order
manejar	to drive, handle
marcar	to mark, note, dial
matar	to kill
medir	to measure
mejorar	to improve, get better
mencionar	to mention, cite
merecer	to deserve, be worthy of
meter	to put into
montar	to ride, mount, assemble
negar	to deny, refuse
notar	to notice [also percibir]
obligar	to obligate, force
organizar	to organize
participar	to participate
permanecer	to stay, remain
pertenecer	to belong
pesar	to weigh (v)
plantear	to propose, present
preferir	to prefer
preocupar	to worry
prestar	to lend
pretender	to attempt
pronunciar	to pronounce
provocar	to cause, provoke
publicar	to publish
quitar	to remove, take away
recoger	to pick up
recorrer	to travel, cover distance
recuperar	to recuperate, recover
reducir	to reduce
regresar	to return to a place
representar	to represent
resolver	to resolve, settle, work out
respetar	to respect
retirar	to take away, retire
reunir	to put togerther, to get together [also juntar]
romper	to break
salvar	to save, rescue
sentar	to sit down, seat
significar	to mean
sostener	to support, hold up
superar	to overcome, surpass
surgir	to appear, spring forth
tardar	to delay, take long
tender	to tend to, lay out
tirar	to throw, pull
transformar	to transform, change
unir	to unite
vender	to sell
viajar	to travel
ajeno	not belonging to, detached
auténtico	authentic
bello	beautiful, fine
breve	brief, short
brillante	brilliant, shiny, sparkling
central	central (adj)
ciego	blind
comercial	commercial, shopping
complejo	complex, complicated (adj)
complicado	complicated, complex
consciente	conscious, aware
constante	constant
convencido	convinced, persuaded
correcto	correct, suitable
correspondiente	corresponding
cotidiano	daily (adj) [also diario]
cristiano	Christian
curioso	curious, strange
débil	weak
delicado	delicate
desconocido	unknown
doble	double (adj)
eléctrico	electric
encargado	in charge of
escaso	scarce, very little
evidente	evident, obvious
excelente	excellent
exterior	exterior, outside (adj)
extremo	edge, border, end (nm)
falso	false
femenino	feminine, female
fijo	fixed, steady
fino	fine, delicate
fuerte	strong
fundamental	fundamental
griego	Greek
habitual	usual, habitual, customary
hermoso	beautiful, lovely
independiente	independent, self-sufficient
individual	individual
infantil	of children, childlike, infantile
inferior	lower, inferior
inmenso	immense, vast, huge
intenso	intense, acute
lejano	distant
listo	ready, clever, smart
literario	literary
lógico	logical
máximo	maximum (adj)
moral	moral (adj)
muchísimo	great many, great amount
nervioso	nervous, uptight
norteamericano	North American
notable	outstanding, noteworthy
numeroso	numerous
objetivo	objective (nm)
obligado	obliged, required
peligroso	dangerous
pendiente	aware of, pending
permanente	permanent
pesado	heavy, boring, tiresome
positivo	positive
posterior	rear, backside
práctico	practical, skillful
preparado	prepared
previo	previous
quinto	fifth
reciente	recent
relacionado	related, regarding
sano	healthy, wholesome [also saludable]
seco	dry, arid
seguido	in a row, successive
seguro	safe, sure, secure (adj)
semejante	similar, such, alike
sentado	seated
separado	separate
técnico	technical (adj)
tranquilo	calm, tranquil, relaxed
tremendo	tremendous, dreadful, huge
universal	universal
útil	useful
vecino	neighbor (nm)
violento	violent
vital	vital, lively, essential
absolutamente	absolutely, completely
acaso	by chance, maybe
acerca	about, concerning
aparte	apart, aside, separately
claramente	clearly
definitivamente	definitely, finally
generalmente	generally, usually
justamente	just, exactly
nuevamente	anew, again
únicamente	only [also solamente]
verdaderamente	truly
juez	judge
periodista	journalist
poeta	poet
policía	police, police force, police officer
representante	representative (nc)
alegría	joy, happiness
amistad	friendship
ausencia	absence
batalla	battle
belleza	beauty
busca	search, hunt
cadena	chain
caja	bank, box, safe
cama	bed (furniture)
cámara	camera, chamber
campaña	campaign
canción	song
capa	layer, coat
característica	characteristic, aspect
carga	load, charge, cargo
categoría	category
columna	column, spine
compra	shopping, buy, purchase
comunidad	community
conducta	conduct, behavior
consideración	consideration, regard
costa	coast
crítica	criticism, critique
