adecuado	adequate, suitable
presidente	president
propósito	intention, purpose
proyecto	project, plan
puesto	job, place, position
recuerdo	memory, keepsake
recurso	resource, recourse, means
respeto	respect, regard
ritmo	rhythm
sueño	dream, sleep
tamaño	size, dimension
término	term , end
terreno	ground, earth, terrain
tono	tone
par	pair, couple 
mediante	by means of
tras	after, behind
aquello	that over there 
abandonar	to abandon, leave a place
acompañar	to accompany
acordar,recordar		to remember, remind	
actuar	to act
admitir	to admit
adquirir	to acquire, get
advertir	to warn
afectar	to affect
afirmar	to assert, affirm
anunciar	to announce, advertise
apoyar	to support, lean on
aprovechar	to take advantage of
asegurar	to assure, secure, insure
asistir	to attend
atender	to serve, attend to
atravesar, cruzar	to cross
aumentar, incrementar	to increase
bajar	to come down, let down
bastar	to be sufficient
caber	to fit into
cargar	to load up, carry
coincidir	to coincide, agree
colocar	to place, position
comentar	to comment on
compartir	to share
comprobar	to verify, prove
conducir	to lead, drive
conservar	to conserve, preserve
consistir	to consist of
constituir	to constitute, consist of
construir	to construct, build
contemplar	to contemplate
contener	to contain
contestar	to answer, reply
convenir	to be agreeable, be convenient
corresponder	to correspond with
costar	to cost, to be hard to do
crecer	to grow, increase
cruzar, atravesar	to cross 
cubrir	to cover
cuidar	to take care of
definir	to define
demostrar	to show, demonstrate
depender	to depend on
desaparecer	to disappear, vanish
desear	to want, desire, wish for
despertar	to wake up, arouse
destacar	to emphasize, stand out
discutir	to argue, discuss
disponer	to have means, dispose
dominar	to dominate, master
durar	to last
emplear	to employ
enfrentar	to confront, face
enseñar	to teach, show
entregar	to deliver
enviar	to send
escapar	to escape
establecer	to establish
exigir	to demand
exponer	to expound, expose
expresar	to express
extender	to extend, spread
faltar	to be lacking
firmar	to sign
funcionar	to work, function
guardar	to keep, save
identificar	to identify
impedir	to prevent, hinder
imponer	to impose, enforce
instalar	to install
interpretar	to interpret
intervenir	to intervene
invitar	to invite
lanzar,arrojar	to throw violently, to hurl
llenar	to fill
mandar	to send, order
manejar	to drive, handle
marcar	to mark, note, dial
matar	to kill
medir	to measure
mejorar	to improve, get better
mencionar	to mention, cite
merecer	to deserve, be worthy of
meter	to put into
montar	to ride, mount, assemble
negar	to deny, refuse
notar, percibir	to notice
obligar	to obligate, force
permanecer	to stay, remain
pertenecer	to belong
pesar	to weigh 
plantear	to propose, present
preocupar	to worry
prestar	to lend
pretender	to attempt
provocar	to cause, provoke
publicar	to publish
quitar	to remove, take away
recoger	to pick up
recorrer	to travel, cover distance
recuperar	to recuperate, recover
regresar	to return to a place
representar	to represent
respetar	to respect
retirar	to take away, retire
reunir, juntar	to put together, to get together
romper	to break
salvar	to save, rescue
sentar	to sit down, seat
significar	to mean
sostener	to support, hold up
superar	to overcome, surpass
surgir	to appear, spring forth
tardar	to delay, take long
tender	to tend to, lay out
tirar	to throw, pull
transformar	to transform, change
unir	to unite
ajeno	not belonging to, detached
auténtico	authentic
bello	beautiful, fine
breve	brief, short
brillante	brilliant, shiny, sparkling
ciego	blind
complejo	complex, complicated 
complicado	complicated, complex
consciente	conscious, aware
convencido	convinced, persuaded
correspondiente	corresponding
cotidiano, diario	daily
cristiano	Christian
débil	weak
delicado	delicate
desconocido	unknown
encargado	in charge of
escaso	scarce, very little
extranjero	foreign, alien 
extremo	edge, border, end 
femenino	feminine, female
fijo	fixed, steady
fino	fine, delicate
fuerte	strong
habitual	usual, habitual, customary
hermoso	beautiful, lovely
independiente	independent, self-sufficient
infantil	of children, childlike, infantile
inmenso	immense, vast, huge
intelectual	intellectual
intenso	intense, acute
lejano	distant
literario	literary
loco	crazy, insane
muchísimo	great many, great amount
norteamericano	North American
notable	outstanding, noteworthy
objetivo	objective 
obligado	obliged, required
peligroso	dangerous
pendiente	aware of, pending
permanente	permanent
pesado	heavy, boring, tiresome
posterior	rear, backside
práctico	practical, skillful
previo	previous
reciente	recent
relacionado	related, regarding
sano, saludable	healthy, wholesome
seco	dry, arid
seguido	in a row, successive
semejante	similar, such, alike
sentado	seated
tremendo	tremendous, dreadful, huge
vecino	neighbor 
violento	violent
acaso	by chance, maybe
acerca	about, concerning
aparte	apart, aside, separately
definitivamente	definitely, finally
igualmente	equally
justamente	just, exactly
prácticamente	practically
únicamente, solamente	only
verdaderamente	truly
juez	judge
policía	police, police force, police officer
representante	representative 
alegría	joy, happiness
amistad	friendship
ausencia	absence
batalla	battle
belleza	beauty
busca	search, hunt
cadena	chain
caja	bank, box, safe
cama	bed 
cámara	camera, chamber
campaña	campaign
capa	layer, coat
característica	characteristic, aspect
carga	load, charge, cargo
columna	column, spine
compra	shopping, buy, purchase
conducta	conduct, behavior
costa	coast
crítica	criticism, critique
culpa	blame, fault
derecha	right, right hand
disciplina	discipline, subject
discusión	discussion, argument
disposición	disposal, disposition
entrevista	interview, meeting
escena	scene, stage, setting
espalda	back 
estación	station, season
estrella	star 
estructura	structure
fábrica	factory, manufacture
fe	faith
frecuencia	frequency
frontera	border, frontier
gana	desire
iglesia	church
inquietud	restlessness, anxiety
inteligencia	intelligence
interpretación	interpretation, interpreting
justicia	justice, fairness
juventud	youth
lista	list, roster, roll
llamada	call, knock
lluvia	rain
marca	mark, brand, trademark
mirada	gaze, look
misión	mission, task
moda	fashion, form
moneda	coins, currency
montaña	mountain 
norma	standard, pattern, norm
organización	organization
pasión	passion, desire
pérdida	loss
perspectiva	perspective
pierna	leg
pintura	painting, paint
plata	silver, money
plaza	square, marketplace
prensa	press
profundidad	depth, profundity
punta	tip, point
raíz	root
rama	branch, bough, limb
reacción	reaction
referencia	reference, allusion
resistencia	resistance, opposition
riqueza	riches, wealth
rueda	wheel
señal	sign, mark, token
sensación	sensation, feeling
sombra	shade, shadow
sorpresa	surprise
suma	sum, amount, summary
superficie	surface, area
tarde	late 
técnica	technique
tendencia	tendency, style
velocidad, rapidez	speed
ventaja	advantage, benefit
violencia	violence
virtud	virtue, quality
hambre	hunger, starvation
acceso	access, entry
accidente	accident, irregularity
acontecimiento	event, happening
alcance	reach, scope
alimento	food, nourishment
ánimo	zest, spirit, heart
aparato	apparatus, device
argumento	argument, plot
ataque	attack, raid
barco	boat
barrio	neighborhood, district
beneficio	benefit, profit
capítulo	chapter
muchacho	boy
círculo	circle, club
colegio	high school, college
comentario	remark, comment
comienzo	start, beginning
comportamiento	behavior, conduct
compromiso	compromise, engagement
consejo	advice, council, counsel
contenido	contents, content
cuento	story, tale
daño	harm, injury, damage
dedo	finger, toe, digit
defecto	defect
diálogo	dialogue, conversation
discurso	lecture, discourse, talk
dueño	owner, landlord 
ejercicio	exercise, practice
ejército	army
empleado	employee
empleo	work, job, occupation
enemigo	enemy
equilibrio	balance
espectáculo	spectacle, show
exceso	excess
experto	expert
extranjero	foreigner 
fracaso	failure, collapse
fruto	fruit, result
fuego	fire, gunfire
gasto	expense, expenditure
gesto	gesture
habitante	inhabitant
honor	honor, honesty
indio	Indian
individuo	individual, person
instante	instant, moment
intento	attempt, try
marco	frame, mark, setting
material	material 
matrimonio	marriage, married couple
método	method
nacimiento	birth, origin
organismo	organization, organism, human body
particular	particular, detail, individual 
pelo, cabello	hair
período	period, time
personal	personnel, staff, staffing 
placer	pleasure
plazo	deadline, installment
premio	prize, reward
presente	present, current 
puente	bridge
puerto	port, harbor
rasgo	feature, trait
rato	moment, while, time
régimen	regime, diet
remedio	alternative, cure, solution
rey	king
riesgo	risk
ruido	noise
salto	jump, hop, skip
signo	sign, mark, symbol
sonido	sound
sur	south
techo	ceiling, roof
temor, miedo	fear
territorio	territory
en torno a torno 		about, regarding		
tratamiento	treatment, processing
trato	treatment, manner, agreement
vehículo	vehicle, car
viento	wind, scent
volumen	volume
político	politician 
corte	court , cut 
margen	edge, margin, border, brink
aquél	that one over there 
aclarar	to clarify, clear up
acudir	to attend, go to, frequent
acumular	to accumulate, amass
adoptar	to adopt
alejar	to move away
amar	to love
añadir	to add
analizar	to analyze
apreciar	to appreciate
aprobar	to pass a test, approve
apuntar	to point, note, aim
arrancar	to start a machine, uproot
arrastrar	to drag, pull
arreglar	to fix, arrange
asumir	to assume, take on
atacar	to attack
atraer	to attract
atrever	to dare
basar	to base on, base upon
calcular	to calculate, figure out
cantar	to sing
casar	to marry
causar	to cause, bring about
ceder	to give way, yield
celebrar	to celebrate
cobrar	to charge money
cometer	to commit
componer	to compose, be part of
conceder	to grant, concede
condenar	to convict, condemn
confiar	to trust, confide
confirmar	to confirm
conformar	to conform
confundir	to confuse
contribuir	to contribute
convencer	to convince, persuade
declarar	to declare, testify
descansar	to rest
describir	to describe
destinar	to assign, appoint
destruir	to destroy, ruin
determinar	to determine, decide
devolver, retornar	to give back, to return something
gozar	to enjoy
dividir	to divide
dudar	to have doubt
ejercer	to practice, exercise
elevar	to elevate, raise
encargar	to entrust, take charge of
equivocar	to be wrong
estimar	to estimate, hold in esteem
experimentar	to experience, experiment
fabricar	to manufacture
facilitar	to facilitate
figurar	to appear, represent, figure in
fundar	to found, base
girar	to rotate, revolve
grabar	to record, engrave
hallar	to find out
ignorar	to be unaware
incorporar	to incorporate, include
integrar	to integrate, fit in
interrumpir	to interrupt
inventar	to invent, make up
justificar	to justify, excuse
juzgar	to judge
llorar	to cry
luchar	to fight, wrestle
manifestar	to express, show
mezclar	to mix
molestar	to bother, disturb, upset
nombrar	to name, appoint
operar	to operate
opinar	to think, be of the opinion
oponer	to oppose
ordenar	to put in order, organize
parar	to stop moving
pegar	to hit, stick on
perseguir	to pursue
poseer	to possess, own
practicar	to practice
proceder	to proceed, start
procurar	to try, seek
proteger	to protect
proyectar	to project
rechazar	to reject
reflejar	to reflect
reír	to laugh
repartir	to divide, deliver, distribute
requerir	to require
resistir	to resist, endure
robar	to rob, steal
rodear	to surround
saltar	to jump, leap, hop
solicitar	to solicit, request
someter	to subject, submit, subjugate
sonar	to sound, ring
soportar	to endure, stand something
sorprender	to surprise
sugerir	to suggest, hint at
temer	to fear
transmitir	to transmit, broadcast
trasladar	to move, transfer
vencer	to overcome, conquer
vestir	to wear, dress
volar	to fly
acostumbrado	accustomed
agradable	nice, pleasant
aislado	isolated
alejado	remote, distant, aloof
ancho	wide 
anciano	elderly, aged
aplicado	applied
armado	armed
artístico	artistic
avanzado	advanced
caliente	hot, warm, spirited
campesino	rural
casado	married
castellano	Castilian, Spanish
científico	scientific 
circular	to circulate, go around, flow 
ciudadano	citizen 
clave	key 
colectivo	collective, joint 
conforme	in agreement
cubierto	covered
decidido	determined, resolute
digno	worthy
divino	divine
efectivo, eficaz	effective
elemental	elemental, basic
elevado	elevated, high, lofty
entendido	understood
esencial	essential
espiritual	spiritual
establecido	established
estrecho	narrow
eterno	eternal
excesivo	excessive
fiel	faithful, loyal
firme	firm, steady
frecuente	frequent
incapaz	incapable
increíble	incredible, unbelievable
interesado	interested
íntimo	close, intimate
inútil	useless
magnífico	magnificent, splendid
maravilloso	wonderful, marvelous
múltiple	multiple, many
mundial	worldwide
nocturno	nocturnal, evening
no obstante obstante 		nevertheless		
oportuno	opportune, timely
opuesto	opposite, contrary
poderoso	powerful
precioso	beautiful, precious
preocupado	worried, concerned
primario	primary
probable	probable
redondo	round 
reducido	reduced, limited
relativo	relative 
respectivo	respective
revolucionario	revolutionary
rodeado	surrounded
roto	broken, torn
sabio	wise, learned
sagrado	sacred
satisfecho	satisfied
severo	severe
significativo	significant, meaningful
situado	situated, located
sólido	solid, strong
suave	soft, gentle, mild
suelto	loose
sujeto	subject, individual 
trabajador, obrero	worker, laborer
vacío	empty, vacant 
vestido	dressed 
afuera	outside
aparentemente	apparently
constantemente	constantly
efectivamente	in fact, actually, indeed
evidentemente	evidently, obviously
exclusivamente	exclusively
justo	fair, just 
a menudo 		often		
naturalmente	naturally
peor	worse, worst 
suficientemente	enough 
amante	lover
cliente	client, customer
especialista	specialist
guardia	guard, watch, lookout
paciente	patient
actuación	performance, acting
alternativa	alternative
angustia	anguish, distress
aparición	appearance, apparition
apariencia	appearance, aspect
arena	sand
biblioteca	library
bomba	bomb, explosion, pump
búsqueda	search
caída	fall, drop, falling
cárcel	jail, prison
carretera	highway, road
cifra	figure, number, amount
cinta	tape, ribbon, film, strip
claridad	clearness, clarity
cola	line, queue, tail
competencia	competition, contest
composición	composition, make-up, essay
corriente	current, common 
cualidad	quality, attribute
curiosidad	curiosity, quaintness
declaración	declaration, statement
demanda	petition, request, demand
desgracia	misfortune, bad luck
emoción	emotion, excitement
enseñanza	teaching, instruction
escala	scale, ladder, rank
espera	wait
esquina	corner
evolución	evolution, development
exigencia	requirement, demand
exposición	exhibition, display
fama	reputation, fame
felicidad	happiness
fila	line, row, file
filosofía	philosophy
firma	company, signature, signing
fórmula	formula
fortuna	fortune, fate
habilidad	ability, skill, talent
habitación	room, bedroom, habitat
humanidad	humanity, mankind
identidad	identity
independencia	independence
infancia	infancy, childhood
iniciativa	initiative
intervención	intervention
llegada	arrival
manifestación	protest, manifestation
mentira	lie
mezcla	mixture, blend
miseria	misery, wretchedness
muestra	proof, sample, sign
novedad	latest news, newness
nube	cloud
observación	observation
oposición	opposition
pobreza	poverty, lack, scarcity
poesía	poetry, poem
postura	posture, position, attitude
potencia	power, potential
precisión	precision
presentación	presentation, introduction
protección	protection
provincia	province, region
rapidez, velocidad	speed, velocity
raza	race, lineage
red	network, net, system
reflexión	reflection, thought
sección	section, cut
sensibilidad	sensitivity
sesión	session, meeting
tabla	chart, board, table, plank
tela	cloth, fabric
temperatura	temperature
temporada	season, period, time
tensión	tension, stress, strain
tragedia	tragedy
tranquilidad	tranquility, peace
víctima	victim, casualty
victoria	victory, triumph
vivienda	housing, dwelling
vocación	vocation, calling
área	area, zone 
alrededor	surrounding area, vicinity 
ámbito	sphere, space
aumento	increase, rise
avance, adelanto	advance, progress
borde	edge
bosque	forest
caballero	gentleman, knight
cálculo	calculation, calculus
canal	channel, canal
canto	singing, chant
castigo	punishment, penalty
cerebro	brain
clima	climate
comercio	commerce, trade
continente	continent
contrato	contract, agreement
crecimiento	growth, increase
crimen	crime, murder
cuello	neck, collar
desastre	disaster
descanso	rest, interval, break
descubrimiento	discovery
dibujo	drawing, sketch
diente	tooth, cog
dominio	power, control
ensayo	essay, rehearsal
entusiasmo	enthusiasm
escenario	stage, setting, scene
espejo	mirror, reflection
extremo	extreme 
factor	factor, cause, influence
familiar	relative 
funcionario	civil servant
género	sort, gender, genre
grito	cry, shout, scream
hábito	habit
hierro	iron
hilo	thread, yarn, wire
hombro	shoulder
hueso	bone
humor	mood, humor
impulso	impulse, momentum
índice	index, forefinger
informe	report
ingreso	entrance, admission, income
largo	length 
lector	reader, lecturer
llamado	call, calling
local	place, quarters 
lujo	luxury
mecanismo	mechanism
mérito	worth, merit
monte	mountain 
montón	lot of, heap, pile
muchacho	boy
mueble	piece of furniture
muro	outer wall, rampart
oficio	job, occupation, function
oído	hearing, ear
olor	smell, odor, fragrance
órgano	organ
pago	payment
paisaje	landscape
pájaro,ave	bird
palacio	palace
patio	courtyard, playground, yard
patrón	employer, landlord, patron saint, pattern
pecho	chest, breast
permiso	permission, permit
y pico 		and a bit	
polvo	dust, powder
prestigio	prestige
primo	cousin
privilegio	privilege
procedimiento	procedure, proceedings
progreso	progress
reconocimiento	recognition, acknowledgment
reflejo	reflection 
regreso, retorno	return
revés, al revés 		backwards, upside down, inside out		
sacerdote	priest
sacrificio	sacrifice
seno	breast
significado	meaning
símbolo	symbol
sueldo	salary, pay
sujeto	fastened, subject to 
testigo	witness
tío	uncle, guy
tiro	throw, shot
traje	suit, dress
transporte	transportation, transport
triunfo	triumph, victory
vacío	emptiness, void 
valle	valley
vecino	nearby, neighboring 
vuelo	flight
aconsejar	to advise, counsel
acostumbrar, soler	to be accustomed to
acusar	to accuse
adelantar	to move forward
admirar	to admire
agotar	to exhaust, wear out, run out
agradecer	to thank for
agregar	to add, gather
aguantar	to endure, put up with
ajustar	to adjust, tighten
alimentar	to feed, support
alterar	to alter, modify
ampliar	to enlarge, increase, expand
apartar	to move away, separate
aportar	to provide, contribute
arrojar, lanzar	to throw , to hurl
ascender	to ascend, be promoted
asociar	to associate with
aspirar	to aspire, want
atribuir	to attribute
averiguar	to investigate, find out
borrar	to erase
captar	to capture, attract
carecer	to lack
chocar	to crash into, collide with
coger	to hold, take, catch
colaborar	to collaborate, work together
combatir	to fight against
concebir	to conceive, understand
confesar	to confess, admit
constar	to consist of, comprise
corregir	to correct, rectify
criar	to bring up, rear
deber	duty, obligation 
denominar, llamar	to call, name
depositar	to deposit, place, store
derivar	to derive, come from
descender	to descend
desconocer	to not know, not recognize
despedir	to dismiss, to say goodbye to
desplazar	to replace, move, shift
desprender	to detach, release, remove
dictar	to dictate, announce
disminuir	to decrease, diminish
distribuir	to distribute, deliver
doblar	to bend, turn
emitir	to emit, give off
empeñar	to pawn, pledge, engage
empujar	to push, shove
encerrar	to shut in
engañar	to trick, deceive
enterar	to find out 
esconder	to hide, conceal
examinar	to examine, inspect
explotar	to explode, exploit
fallar	to fail, miss
forzar	to force
gastar	to spend money
golpear	to hit, strike
gritar	to shout
huir	to flee, run away
hundir	to sink, submerge
implicar	to implicate, imply
impulsar	to push, promote, drive
inclinar	to bow, tilt, incline
ingresar	to join, deposit, admit
invadir	to invade, overcome
invertir	to invest
investigar, indagar	to investigate 
modificar	to modify
obedecer	to obey
ocultar	to hide
padecer	to suffer
parecer	opinion, looks 
pasear	to go for a walk, ride
pelear	to fight, struggle
penetrar	to penetrate
percibir, notar	to notice
precisar	to do exactly, specify
prohibir	to prohibit, forbid
prometer	to promise
proporcionar	to provide, supply
provenir	to come from, be from
quejar	to complain
quemar	to burn
reaccionar	to react
reclamar	to demand, require
recomendar	to recommend
recurrir	to resort to
registrar	to register, record [also inscribir]
relacionar	to relate
rendir	to yield, to produce
renunciar	to give up, renounce
reproducir	to reproduce, repeat
respirar	to breathe
revelar	to reveal, disclose
revisar	to check, revise, inspect
saber	knowledge 
saludar	to greet, say hello
satisfacer	to satisfy
sobrevivir	to survive, outlive
soñar	to dream
sospechar	to suspect, suppose
sumar	to add up, amount to
suspender	to suspend, hang, fail
sustituir	to substitute, replace
traducir	to translate
transcurrir	to occur, pass
ubicar	to find, locate
abandonado	abandoned
absurdo	absurd
abundante	abundant, plentiful
académico	academic
agresivo	aggressive
agudo	sharp, acute
alegre	happy, lively, cheerful
anónimo	anonymous
apropiado	appropriate
atractivo	attractive 
caído	fallen
cansado	tired, tiresome
característico	characteristic
católico	Catholic
compuesto	composite, mixed
comunista	Communist
considerable	considerable
creciente	growing, increasing
cruel	cruel, harsh
cuadrado	square
culpable	guilty
definido	definite
democrático	democratic
desagradable	unpleasant
desarrollado	developed, grown
desesperado	desperate, hopeless
desierto	desert 
desnudo	nude, naked
distante	distant, far, remote
doloroso	painful
encerrado	locked up
envuelto	wrapped
equivocado	mistaken, wrong
específico	specific
espontáneo	spontaneous
estricto	strict, rigorous
extenso	extensive, large
externo	external, outward
favorable	favorable, suitable
feo	ugly, nasty, rude
formal	formal, polite
fresco	cool, healthy, fresh 
generoso	generous
gordo	fat, thick
grueso	thick 
humilde	humble, modest
idéntico	identical
impresionante	impressive, astonishing
indígena	indigenous, native
industrial	industrial
infinito	infinite 
injusto	unfair, unjust
judío	Jewish
masculino	masculine, manly, male
mero	mere
modesto	modest, humble
moreno	dark, brown
mutuo	mutual
obrero	worker, laborer  [also trabajador]
occidental	occidental, western
oculto	hidden, occult
ordenado	organized, clean
ordinario	vulgar, ordinary
organizado	organized
orgulloso	proud, arrogant [also soberbio]
parado	stopped, standing
paralelo	parallel
pintado	painted
poquito	little bit
previsto	foreseen, planned
prohibido	prohibited
querido	dear, beloved
razonable	reasonable
remoto	remote, far-off
repetido	repeated
resuelto	resolved, determined
rígido	rigid, stiff, firm
salvaje	wild, savage, uncultivated
secundario	secondary
sensible	sensitive, sentient
solitario	solitary, lonely
sorprendente	surprising, astonishing
sucesivo	successive, following
tonto	stupid, dumb
válido	valid
valioso	valuable, precious
variado	varied, mixed
acá	here
actualmente	now, at present
adentro, dentro		inside
plenamente	fully
posteriormente	afterwards
principalmente	principally, mainly
repente: de + repente 		suddenly		
sencillamente	simply
sumamente	extremely, highly
últimamente	lately, recently
etcétera	etcetera
colega	colleague
comerciante	merchant, businessman
guía	guide, leader
líder	leader
pariente	relative 
actualidad	present time
afirmación	statement, assertion
ambición	ambition
amenaza	threat
anécdota	anecdote
aplicación	application
asociación	association
atmósfera	atmosphere, environment
banda	musical band, sash
bandera	flag
botella	bottle, flask
broma	joke
casualidad	chance, coincidence
caza	hunting 
combinación	combination
comisión	commission, committee
comodidad	comfort, convenience
compañera	female companion
concepción	conception
conferencia	conference, lecture
consulta	consultation, advice
contradicción	contradiction
convicción	conviction
creencia	belief
criatura	creature, child
cuerda	cord, rope
dama	lady, dame
danza	dance
debilidad	weakness
década	decade
desaparición	disappearance
destrucción	destruction
deuda	debt
dignidad	dignity
distribución	distribution
doña	courtesy title , Mrs.
edición	edition, publication
ejecución	performance, execution
entrega	delivery
escritura	writing, scripture
estancia	stay, stance, ranch
expectativa	expectation, hope, prospect
explosión	explosion
extensión	extension, area, expanse
fantasía	fantasy, fancy
fase	phase, stage
garantía	guarantee, warranty
gloria	glory, fame
herencia	inheritance, legacy
herida	wound, injury
herramienta	tool
huella	trace, track, footstep
inclinación	slope, incline, tendency
instalación	installation, facilities
instancia	application, request
intensidad	intensity, force
inversión	investment, outlay
invitación	invitation
jornada	working day, shift
lágrima	tear, teardrop
lata	tin can
leyenda	legend
liberación	liberation
limpieza	cleanliness, purity
llave	key, faucet, wrench
locura	madness, insanity
lógica	logic
madrugada	dawn, daybreak [also alba]
mancha	stain, spot
maravilla	wonder, marvel
media	average; a m.: halfways
meta	goal, aim, purpose
nieve	snow
ocupación	occupation, use
oferta	offer, bid, supply
ola	wave, billow
onda	wave, ripple
opción	option, choice
oreja	ear
orilla	shore, edge
oscuridad	darkness
paciencia	patience
pantalla	screen, monitor
pata	leg, paw
patria	native land, fatherland
pelota	ball
pensión	pension, boarding house
pista	clue, track, trace
pluma	pen, feather
posesión	possession
preparación	preparation, training
promesa	promise
proporción	proportion
propuesta	proposal, proposition
protesta	objection, protest
reina	queen
risa	laugh, chuckle
roca	rock
rodilla	knee
ruina	ruin, collapse
ruptura	break-up, rupture
ruta	route
selva	forest, jungle
separación	separation
simpatía	sympathy, affinity
soledad	loneliness, solitude
tarjeta	card
tesis	thesis, exposition
tía	aunt
torre	tower
totalidad	whole, totality
transformación	transformation
tristeza	sadness
tropa	troops, forces
tumba	tomb, grave
urgencia	urgency
vaca	cow
variedad	variety
vela	candle, sail, vigil
vergüenza	embarrassment
viuda	widow
ala	wing, flank
aceite	oil
afán	eagerness, zeal, effort
afecto	affection, fondness
almacén	warehouse, store
ángulo	angle
anuncio	advertisement, announcement
apellido	last name
arco	arch, arc, bow
asiento	seat, chair
ave,pájaro	bird
azar	random, chance, hazard
bienestar	wellbeing, welfare
bolsillo	pocket
cadáver	corpse, body
candidato	candidate
caos	chaos
capitán	captain, chief
cariño	love, affection
centímetro	centimeter
cierre	zipper, closing
código	code
combate	combat, battle, fight
consumo	consumption
contraste	contrast
creador	creator
cristal	glass, crystal, window
cultivo	cultivation, crop
debate	debate
delito	crime, offense
desorden	disorder, mess
despacho	office, study
diseño	design
duro	money 
eco	echo, response
episodio	episode, incident
escándalo	scandal
esclavo	slave
esquema	outline, diagram, plan
establecimiento	establishment
fantasma	ghost, phantom
funcionamiento	functioning, operation
ganado	livestock, cattle
giro	turn, draft, expression
héroe	hero
hielo	ice
homenaje	homage, tribute
horario	schedule, timetable
horizonte	horizon
impacto	impact
inconveniente	inconvenience, drawback
intercambio	exchange, interchange
laboratorio	laboratory
líquido	liquid
mando	command, authority
manejo	handling, management
mapa	map
matiz	shade, tint, nuance
milagro	miracle
mito	myth
muerto	dead person 
núcleo	nucleus, core
objetivo	objective, impartial 
odio	hatred
orgullo	pride
oriente	East
palo	stick, pole
panorama	panorama, landscape
paquete	package, packet
partidario	supporter, partisan
pasaje	fare, passage, lane
paseo	walk, ride
perdón	forgiveness, pardon
perfil	profile, outline
pez	fish 
planeta	planet
rayo	ray, beam, lightning
