date,weather,temp_high
2022-09-29,Sunny,24.5
2022-09-30,Sunny,26.8
2022-10-01,Cloudy,26.7
2022-10-02,Rain,28.9
2022-10-03,Rain,28.0
2022-10-04,Rain,23.5
2022-10-05,Rain,20.5
2022-10-06,Rain,20.5
2022-10-07,Rain,18.1
2022-10-08,Cloudy,19.7
2022-10-09,Rain,14.7
2022-10-10,Rain,13.6
2022-10-11,Cloudy,15.6
2022-10-12,Cloudy,19.5
2022-10-13,Cloudy,20.5
2022-10-14,Cloudy,21.3
2022-10-15,Cloudy,22.4
2022-10-16,Cloudy,22.0
2022-10-17,Cloudy,13.5
2022-10-18,Sunny,12.6
2022-10-19,Sunny,14.8
2022-10-20,Cloudy,16.9
2022-10-21,Cloudy,18.7
2022-10-22,Cloudy,19.2
2022-10-23,Cloudy,17.5
2022-10-24,Sunny,13.4
2022-10-25,Sunny,16.1
2022-10-26,Cloudy,17.2
2022-10-27,Cloudy,18.3
2022-10-28,Cloudy,19.0
2022-10-29,Cloudy,19.5
2022-10-30,Cloudy,19.3
2022-10-31,Cloudy,18.6
2022-11-01,Cloudy,17.7
2022-11-02,Cloudy,16.9
2022-11-03,Cloudy,14.6
2022-11-04,Cloudy,9.5
2022-11-05,Sunny,12.4
2022-11-06,Cloudy,15.4
2022-11-07,Cloudy,16.0
2022-11-08,Cloudy,17.3
2022-11-09,Cloudy,16.5
2022-11-10,Cloudy,18.5
2022-11-11,Cloudy,21.7
2022-11-12,Rain,25.4
2022-11-13,Rain,18.0
2022-11-14,Rain,13.5
2022-11-15,Rain,11.9
2022-11-16,Rain,13.8
2022-11-17,Cloudy,14.2
2022-11-18,Sunny,17.2
2022-11-19,Cloudy,17.9
2022-11-20,Cloudy,18.3
2022-11-21,Cloudy,18.0
2022-11-22,Rain,15.9
2022-11-23,Rain,15.4
2022-11-24,Cloudy,13.2
2022-11-25,Cloudy,16.8
2022-11-26,Rain,12.2
2022-11-27,Cloudy,14.6
2022-11-28,Rain,16.6
2022-11-29,Rain,14.7
2022-11-30,Cloudy,1.1
2022-12-01,Snow,-0.1
2022-12-02,Cloudy,2.0
2022-12-03,Cloudy,7.8
2022-12-04,Cloudy,1.3
2022-12-05,Cloudy,0.9
2022-12-06,Rain,5.7
2022-12-07,Cloudy,8.7
2022-12-08,Cloudy,8.1
2022-12-09,Cloudy,10.8
2022-12-10,Snow,6.6
2022-12-11,Cloudy,6.7
2022-12-12,Rain,7.6
2022-12-13,Snow,5.6
2022-12-14,Cloudy,-2.3
2022-12-15,Snow,4.9
2022-12-16,Cloudy,-1.8
2022-12-17,Snow,-1.8
2022-12-18,Cloudy,-4.9
2022-12-19,Cloudy,0.0
2022-12-20,Cloudy,2.7
2022-12-21,Snow,5.9
2022-12-22,Snow,-1.1
2022-12-23,Snow,-4.6
2022-12-24,Cloudy,-5.8
2022-12-25,Sunny,1.4
2022-12-26,Cloudy,1.0
2022-12-27,Cloudy,2.7
2022-12-28,Snow,2.2
2022-12-29,Cloudy,0.4
2022-12-30,Cloudy,3.0
2022-12-31,Cloudy,3.7
2023-01-01,Cloudy,4.8
2023-01-02,Cloudy,0.2
2023-01-03,Cloudy,2.1
2023-01-04,Cloudy,5.1
2023-01-05,Snow,6.4
2023-01-06,Snow,7.2
2023-01-07,Snow,5.8
2023-01-08,Cloudy,8.0
2023-01-09,Cloudy,7.6
2023-01-10,Cloudy,9.7
2023-01-11,Cloudy,9.5
2023-01-12,Cloudy,14.7
2023-01-13,Rain,13.5
2023-01-14,Rain,9.5
2023-01-15,Snow,6.3
2023-01-16,Cloudy,-0.2
2023-01-17,Cloudy,2.2
2023-01-18,Cloudy,3.7
2023-01-19,Cloudy,5.3
2023-01-20,Cloudy,2.7
2023-01-21,Cloudy,1.8
2023-01-22,Cloudy,5.5
2023-01-23,Cloudy,7.0
2023-01-24,Snow,-3.7
2023-01-25,Sunny,-5.3
2023-01-26,Snow,1.2
2023-01-27,Cloudy,-2.9
2023-01-28,Snow,-0.1
2023-01-29,Cloudy,4.5
2023-01-30,Sunny,3.6
2023-01-31,Sunny,9.6
2023-02-01,Cloudy,6.5
2023-02-02,Cloudy,2.1
2023-02-03,Cloudy,3.4
2023-02-04,Sunny,6.5
2023-02-05,Sunny,7.2
2023-02-06,Cloudy,10.5
2023-02-07,Cloudy,10.9
2023-02-08,Cloudy,8.2
2023-02-09,Rain,10.2
2023-02-10,Snow,8.3
2023-02-11,Cloudy,7.8
2023-02-12,Cloudy,9.8
2023-02-13,Rain,10.7
2023-02-14,Cloudy,6.3
2023-02-15,Cloudy,4.9
2023-02-16,Rain,5.6
2023-02-17,Cloudy,9.5
2023-02-18,Rain,9.6
2023-02-19,Rain,6.8
2023-02-20,Sunny,4.9
2023-02-21,Sunny,3.6
2023-02-22,Cloudy,8.6
2023-02-23,Snow,9.0
2023-02-24,Cloudy,9.2
2023-02-25,Sunny,5.8
2023-02-26,Sunny,8.4
2023-02-27,Sunny,12.5
2023-02-28,Cloudy,11.2
2023-03-01,Cloudy,12.1
2023-03-02,Sunny,6.5
2023-03-03,Cloudy,11.4
2023-03-04,Cloudy,13.8
2023-03-05,Sunny,15.9
2023-03-06,Sunny,16.1
2023-03-07,Rain,19.7
2023-03-08,Rain,20.8
2023-03-09,Rain,20.4
2023-03-10,Sunny,24.2
2023-03-11,Cloudy,24.2
2023-03-12,Rain,14.5
2023-03-13,Cloudy,9.4
2023-03-14,Cloudy,17.2
2023-03-15,Rain,19.8
2023-03-16,Cloudy,11.7
2023-03-17,Cloudy,13.9
2023-03-18,Cloudy,15.6
2023-03-19,Sunny,16.6
2023-03-20,Cloudy,19.1
2023-03-21,Cloudy,23.3
2023-03-22,Rain,25.7
2023-03-23,Rain,20.0
2023-03-24,Rain,15.8
2023-03-25,Rain,14.4
2023-03-26,Rain,15.8
2023-03-27,Sunny,14.4
2023-03-28,Cloudy,16.3
2023-03-29,Cloudy,20.4
2023-03-30,Cloudy,22.5
2023-03-31,Cloudy,23.1
2023-04-01,Cloudy,25.1
2023-04-02,Cloudy,22.5
2023-04-03,Cloudy,23.5
2023-04-04,Rain,23.0
2023-04-05,Rain,17.5
2023-04-06,Rain,13.3
2023-04-07,Rain,16.2
2023-04-08,Rain,15.2
2023-04-09,Cloudy,18.5
2023-04-10,Cloudy,21.5
2023-04-11,Rain,21.8
2023-04-12,Cloudy,17.5
2023-04-13,Cloudy,23.0
2023-04-14,Rain,22.2
2023-04-15,Rain,18.0
2023-04-16,Rain,17.7
2023-04-17,Cloudy,21.3
2023-04-18,Rain,21.2
2023-04-19,Cloudy,28.6
2023-04-20,Rain,26.9
2023-04-21,Rain,22.8
2023-04-22,Cloudy,21.4
2023-04-23,Cloudy,20.5
2023-04-24,Cloudy,18.9
2023-04-25,Rain,11.3
2023-04-26,Rain,15.4
2023-04-27,Sunny,22.2
2023-04-28,Rain,24.3
2023-04-29,Rain,17.9
2023-04-30,Cloudy,20.1
2023-05-01,Cloudy,20.6
2023-05-02,Cloudy,25.5
2023-05-03,Cloudy,25.2
2023-05-04,Rain,26.4
2023-05-05,Rain,23.4
2023-05-06,Rain,20.0
2023-05-07,Rain,13.2
2023-05-08,Cloudy,21.0
2023-05-09,Cloudy,23.5
2023-05-10,Cloudy,23.6
2023-05-11,Cloudy,25.1
2023-05-12,Cloudy,24.0
2023-05-13,Rain,23.6
2023-05-14,Cloudy,25.6
2023-05-15,Cloudy,28.4
2023-05-16,Sunny,32.3
2023-05-17,Cloudy,32.0
2023-05-18,Rain,22.5
2023-05-19,Cloudy,25.9
2023-05-20,Cloudy,29.1
2023-05-21,Rain,25.7
2023-05-22,Rain,23.1
2023-05-23,Sunny,26.2
2023-05-24,Cloudy,27.8
2023-05-25,Cloudy,27.1
2023-05-26,Rain,26.3
2023-05-27,Rain,27.0
2023-05-28,Rain,22.7
2023-05-29,Rain,24.4
2023-05-30,Cloudy,27.4
2023-05-31,Cloudy,27.9
2023-06-01,Cloudy,26.6
2023-06-02,Rain,26.8
2023-06-03,Cloudy,27.1
2023-06-04,Cloudy,27.8
2023-06-05,Cloudy,26.9
2023-06-06,Cloudy,28.3
2023-06-07,Cloudy,27.9
2023-06-08,Rain,28.5
2023-06-09,Rain,29.8
2023-06-10,Rain,31.8
2023-06-11,Rain,28.8
2023-06-12,Cloudy,29.6
2023-06-13,Cloudy,29.1
2023-06-14,Rain,28.4
2023-06-15,Rain,28.7
2023-06-16,Cloudy,32.8
2023-06-17,Cloudy,35.0
2023-06-18,Cloudy,35.2
2023-06-19,Cloudy,35.8
2023-06-20,Rain,30.3
2023-06-21,Rain,26.4
2023-06-22,Rain,28.4
2023-06-23,Cloudy,31.9
2023-06-24,Rain,33.8
2023-06-25,Rain,33.6
2023-06-26,Rain,27.6
2023-06-27,Rain,30.1
2023-06-28,Rain,29.2
2023-06-29,Rain,27.2
2023-06-30,Rain,29.4
2023-07-01,Rain,31.8
2023-07-02,Cloudy,31.1
2023-07-03,Cloudy,33.5
2023-07-04,Rain,28.5
2023-07-05,Rain,27.8
2023-07-06,Cloudy,31.3
2023-07-07,Rain,28.0
2023-07-08,Rain,29.1
2023-07-09,Rain,31.2
2023-07-10,Rain,30.5
2023-07-11,Rain,26.5
2023-07-12,Rain,29.3
2023-07-13,Rain,27.1
2023-07-14,Rain,26.2
2023-07-15,Rain,26.6
2023-07-16,Rain,26.8
2023-07-17,Rain,30.5
2023-07-18,Rain,25.0
2023-07-19,Rain,30.5
2023-07-20,Cloudy,31.3
2023-07-21,Rain,33.1
2023-07-22,Rain,28.1
2023-07-23,Rain,27.1
2023-07-24,Rain,29.5
2023-07-25,Rain,29.4
2023-07-26,Rain,31.8
2023-07-27,Rain,31.8
2023-07-28,Rain,32.3
2023-07-29,Cloudy,33.5
2023-07-30,Rain,32.5
2023-07-31,Rain,31.7
2023-08-01,Cloudy,34.1
2023-08-02,Rain,33.0
2023-08-03,Cloudy,34.1
2023-08-04,Cloudy,34.0
2023-08-05,Sunny,33.9
2023-08-06,Rain,34.6
2023-08-07,Rain,34.3
2023-08-08,Rain,34.2
2023-08-09,Rain,30.7
2023-08-10,Rain,24.6
2023-08-11,Rain,28.2
2023-08-12,Rain,29.4
2023-08-13,Rain,31.2
2023-08-14,Cloudy,32.1
2023-08-15,Cloudy,31.5
2023-08-16,Rain,30.9
2023-08-17,Rain,30.7
2023-08-18,Rain,31.7
2023-08-19,Rain,32.2
2023-08-20,Rain,32.2
2023-08-21,Rain,32.4
2023-08-22,Rain,31.6
2023-08-23,Rain,31.3
2023-08-24,Rain,28.7
2023-08-25,Rain,29.9
2023-08-26,Cloudy,29.8
2023-08-27,Rain,29.8
2023-08-28,Rain,29.4
2023-08-29,Rain,28.5
2023-08-30,Rain,23.1
2023-08-31,Rain,25.6
2023-09-01,Cloudy,28.5
2023-09-02,Cloudy,29.8
2023-09-03,Rain,30.5
2023-09-04,Rain,29.4
2023-09-05,Cloudy,29.6
2023-09-06,Sunny,29.7
2023-09-07,Sunny,28.4
2023-09-08,Sunny,27.6
2023-09-09,Cloudy,29.1
2023-09-10,Cloudy,29.4
2023-09-11,Rain,29.4
2023-09-12,Rain,29.2
2023-09-13,Rain,23.7
2023-09-14,Rain,24.2
2023-09-15,Rain,24.3
2023-09-16,Rain,29.2
2023-09-17,Rain,28.1
2023-09-18,Rain,28.3
2023-09-19,Rain,27.9
2023-09-20,Rain,23.7
2023-09-21,Rain,22.2
2023-09-22,Rain,23.8
2023-09-23,Cloudy,24.4
2023-09-24,Cloudy,24.1
2023-09-25,Rain,26.0
2023-09-26,Rain,23.0
2023-09-27,Rain,24.6
2023-09-28,Rain,26.9
2023-09-29,Cloudy,23.2
2023-09-30,Rain,23.8
2023-10-01,Sunny,21.5
2023-10-02,Cloudy,21.7
2023-10-03,Cloudy,20.1
2023-10-04,Rain,22.7
2023-10-05,Cloudy,17.4
2023-10-06,Cloudy,19.2
2023-10-07,Cloudy,20.8
2023-10-08,Rain,19.6
2023-10-09,Rain,21.8
2023-10-10,Cloudy,20.8
2023-10-11,Cloudy,21.7
2023-10-12,Cloudy,22.3
2023-10-13,Cloudy,22.2
2023-10-14,Rain,20.5
2023-10-15,Rain,19.8
2023-10-16,Sunny,19.2
2023-10-17,Sunny,19.2
2023-10-18,Cloudy,22.0
2023-10-19,Rain,19.0
2023-10-20,Rain,15.4
2023-10-21,Cloudy,17.6
2023-10-22,Cloudy,17.3
2023-10-23,Cloudy,19.7
2023-10-24,Rain,20.0
2023-10-25,Sunny,21.2
2023-10-26,Rain,21.3
2023-10-27,Cloudy,18.4
2023-10-28,Sunny,18.8
2023-10-29,Sunny,19.4
2023-10-30,Cloudy,20.0
2023-10-31,Sunny,21.0
2023-11-01,Cloudy,23.4
2023-11-02,Sunny,24.2
2023-11-03,Rain,23.1
2023-11-04,Rain,21.0
2023-11-05,Rain,24.1
2023-11-06,Rain,20.6
2023-11-07,Cloudy,11.1
2023-11-08,Cloudy,16.3
2023-11-09,Rain,19.0
2023-11-10,Rain,12.1
2023-11-11,Cloudy,6.0
2023-11-12,Cloudy,4.9
2023-11-13,Sunny,7.1
2023-11-14,Cloudy,10.3
2023-11-15,Cloudy,12.2
2023-11-16,Rain,9.6
2023-11-17,Snow,7.3
2023-11-18,Snow,7.5
2023-11-19,Cloudy,13.4
2023-11-20,Sunny,10.4
2023-11-21,Sunny,13.4
2023-11-22,Cloudy,14.5
2023-11-23,Rain,16.1
2023-11-24,Cloudy,5.2
2023-11-25,Sunny,2.6
2023-11-26,Rain,8.3
2023-11-27,Rain,12.1
2023-11-28,Cloudy,6.2
2023-11-29,Snow,6.2
2023-11-30,Snow,0.1
2023-12-01,Cloudy,1.7
2023-12-02,Rain,7.5
2023-12-03,Cloudy,6.4
2023-12-04,Cloudy,8.5
2023-12-05,Cloudy,9.5
2023-12-06,Rain,12.9
2023-12-07,Sunny,10.9
2023-12-08,Sunny,17.6
2023-12-09,Cloudy,18.1
2023-12-10,Rain,17.2
2023-12-11,Rain,13.1
2023-12-12,Rain,11.2
2023-12-13,Cloudy,12.8
2023-12-14,Rain,10.6
2023-12-15,Rain,13.5
2023-12-16,Snow,6.5
2023-12-17,Snow,-5.0
2023-12-18,Cloudy,-2.1
2023-12-19,Snow,3.2
2023-12-20,Snow,-1.5
2023-12-21,Cloudy,-5.7
2023-12-22,Cloudy,-5.8
2023-12-23,Cloudy,-0.3
2023-12-24,Snow,2.9
2023-12-25,Snow,3.9
2023-12-26,Cloudy,7.4
2023-12-27,Cloudy,7.7
2023-12-28,Sunny,6.8
2023-12-29,Cloudy,6.7
2023-12-30,Snow,4.9
2023-12-31,Snow,6.7
2024-01-01,Rain,8.5
2024-01-02,Rain,6.4
2024-01-03,Snow,5.6
2024-01-04,Sunny,6.0
2024-01-05,Rain,9.2
2024-01-06,Cloudy,5.0
2024-01-07,Cloudy,-0.0
2024-01-08,Cloudy,0.8
2024-01-09,Snow,6.7
2024-01-10,Snow,4.5
2024-01-11,Cloudy,4.9
2024-01-12,Cloudy,6.5
2024-01-13,Sunny,4.5
2024-01-14,Rain,11.5
2024-01-15,Sunny,1.7
2024-01-16,Cloudy,4.6
2024-01-17,Rain,6.1
2024-01-18,Rain,9.2
2024-01-19,Cloudy,8.4
2024-01-20,Rain,6.1
2024-01-21,Snow,9.7
2024-01-22,Snow,-0.4
2024-01-23,Snow,-5.8
2024-01-24,Snow,-3.3
2024-01-25,Sunny,1.0
2024-01-26,Sunny,5.7
2024-01-27,Cloudy,5.4
2024-01-28,Cloudy,3.9
2024-01-29,Sunny,4.6
2024-01-30,Cloudy,9.6
2024-01-31,Cloudy,10.3
2024-02-01,Cloudy,8.2
2024-02-02,Cloudy,7.7
2024-02-03,Rain,8.0
2024-02-04,Rain,8.8
2024-02-05,Snow,5.1
2024-02-06,Snow,4.7
2024-02-07,Cloudy,4.0
2024-02-08,Cloudy,5.3
2024-02-09,Cloudy,6.6
2024-02-10,Cloudy,6.9
2024-02-11,Snow,6.8
2024-02-12,Sunny,9.6
2024-02-13,Cloudy,14.6
2024-02-14,Rain,17.0
2024-02-15,Snow,11.8
2024-02-16,Cloudy,8.1
2024-02-17,Sunny,11.4
2024-02-18,Rain,12.7
2024-02-19,Rain,14.3
2024-02-20,Rain,8.5
2024-02-21,Rain,5.0
2024-02-22,Snow,3.2
2024-02-23,Snow,7.7
2024-02-24,Snow,7.3
2024-02-25,Snow,5.8
2024-02-26,Cloudy,9.2
2024-02-27,Cloudy,9.7
2024-02-28,Cloudy,10.7
2024-02-29,Rain,7.3
2024-03-01,Cloudy,1.2
2024-03-02,Sunny,4.5
2024-03-03,Snow,10.0
2024-03-04,Rain,11.6
2024-03-05,Rain,7.6
2024-03-06,Cloudy,10.9
2024-03-07,Rain,8.3
2024-03-08,Sunny,7.2
2024-03-09,Sunny,7.1
2024-03-10,Cloudy,10.1
2024-03-11,Rain,10.8
2024-03-12,Rain,10.8
2024-03-13,Cloudy,11.5
2024-03-14,Cloudy,14.0
2024-03-15,Sunny,15.3
2024-03-16,Cloudy,18.1
2024-03-17,Rain,11.6
2024-03-18,Cloudy,13.7
2024-03-19,Snow,12.3
2024-03-20,Sunny,8.4
2024-03-21,Cloudy,11.8
2024-03-22,Rain,17.6
2024-03-23,Rain,19.3
2024-03-24,Cloudy,17.4
2024-03-25,Rain,13.5
2024-03-26,Snow,11.7
2024-03-27,Cloudy,16.2
2024-03-28,Rain,9.9
2024-03-29,Rain,15.3
2024-03-30,Rain,17.3
2024-03-31,Cloudy,17.0
2024-04-01,Sunny,18.4
2024-04-02,Rain,23.7
2024-04-03,Rain,14.5
2024-04-04,Rain,15.3
2024-04-05,Rain,16.9
2024-04-06,Cloudy,17.7
2024-04-07,Cloudy,21.6
2024-04-08,Cloudy,20.6
2024-04-09,Cloudy,18.8
2024-04-10,Cloudy,18.8
2024-04-11,Cloudy,20.8
2024-04-12,Cloudy,23.3
2024-04-13,Cloudy,26.1
2024-04-14,Cloudy,27.2
2024-04-15,Rain,19.2
2024-04-16,Rain,19.5
2024-04-17,Cloudy,21.3
2024-04-18,Cloudy,24.0
2024-04-19,Cloudy,24.5
2024-04-20,Rain,16.5
2024-04-21,Rain,18.6
2024-04-22,Cloudy,21.2
2024-04-23,Rain,21.6
2024-04-24,Rain,18.4
2024-04-25,Cloudy,22.1
2024-04-26,Cloudy,24.9
2024-04-27,Sunny,25.6
2024-04-28,Cloudy,27.9
2024-04-29,Rain,18.2
2024-04-30,Rain,20.2
2024-05-01,Cloudy,20.1
2024-05-02,Sunny,23.5
2024-05-03,Sunny,25.6
2024-05-04,Cloudy,28.1
2024-05-05,Rain,20.6
2024-05-06,Rain,18.1
2024-05-07,Rain,15.9
2024-05-08,Rain,19.0
2024-05-09,Sunny,20.8
2024-05-10,Cloudy,23.4
2024-05-11,Rain,23.8
2024-05-12,Rain,21.4
2024-05-13,Sunny,23.4
2024-05-14,Sunny,24.1
2024-05-15,Rain,22.6
2024-05-16,Rain,18.9
2024-05-17,Cloudy,24.5
2024-05-18,Sunny,25.9
2024-05-19,Cloudy,27.8
2024-05-20,Cloudy,25.9
2024-05-21,Cloudy,25.2
2024-05-22,Cloudy,27.0
2024-05-23,Cloudy,28.7
2024-05-24,Cloudy,28.5
2024-05-25,Cloudy,23.6
2024-05-26,Rain,26.9
2024-05-27,Rain,22.4
2024-05-28,Rain,23.1
2024-05-29,Cloudy,27.0
2024-05-30,Cloudy,27.4
2024-05-31,Cloudy,26.3
2024-06-01,Rain,25.2
2024-06-02,Cloudy,27.1
2024-06-03,Sunny,26.3
2024-06-04,Sunny,27.5
2024-06-05,Cloudy,30.0
2024-06-06,Cloudy,29.8
2024-06-07,Rain,28.7
2024-06-08,Rain,22.9
2024-06-09,Cloudy,29.6
2024-06-10,Cloudy,31.5
2024-06-11,Cloudy,31.8
2024-06-12,Cloudy,33.2
2024-06-13,Cloudy,34.6
2024-06-14,Cloudy,33.8
2024-06-15,Rain,29.5
2024-06-16,Rain,29.7
2024-06-17,Cloudy,30.8
2024-06-18,Sunny,33.8
2024-06-19,Cloudy,36.3
2024-06-20,Cloudy,32.8
2024-06-21,Cloudy,33.4
2024-06-22,Rain,25.3
2024-06-23,Rain,28.3
2024-06-24,Rain,29.5
2024-06-25,Cloudy,28.1
2024-06-26,Cloudy,28.6
2024-06-27,Cloudy,29.0
2024-06-28,Cloudy,31.7
2024-06-29,Rain,31.4
2024-06-30,Rain,27.9
2024-07-01,Rain,30.6
2024-07-02,Rain,29.5
2024-07-03,Rain,28.7
2024-07-04,Rain,31.3
2024-07-05,Rain,28.9
2024-07-06,Rain,31.5
2024-07-07,Rain,28.9
2024-07-08,Rain,27.1
2024-07-09,Rain,26.5
2024-07-10,Rain,28.3
2024-07-11,Rain,28.4
2024-07-12,Rain,29.9
2024-07-13,Rain,30.5
2024-07-14,Rain,30.5
2024-07-15,Rain,30.6
2024-07-16,Rain,28.2
2024-07-17,Rain,30.9
2024-07-18,Rain,28.0
2024-07-19,Rain,29.6
2024-07-20,Rain,31.0
2024-07-21,Rain,30.6
2024-07-22,Cloudy,31.1
2024-07-23,Rain,28.2
2024-07-24,Rain,30.8
2024-07-25,Rain,33.2
2024-07-26,Rain,31.9
2024-07-27,Rain,32.6
2024-07-28,Cloudy,32.7
2024-07-29,Rain,30.7
2024-07-30,Rain,31.2
2024-07-31,Rain,32.6
2024-08-01,Cloudy,33.1
2024-08-02,Rain,33.1
2024-08-03,Rain,33.2
2024-08-04,Rain,34.2
2024-08-05,Rain,32.7
2024-08-06,Cloudy,31.9
2024-08-07,Rain,32.7
2024-08-08,Rain,31.1
2024-08-09,Cloudy,32.8
2024-08-10,Rain,33.3
2024-08-11,Rain,33.9
2024-08-12,Rain,34.2
2024-08-13,Sunny,34.1
2024-08-14,Sunny,34.1
2024-08-15,Rain,33.1
2024-08-16,Rain,33.8
2024-08-17,Rain,34.0
2024-08-18,Rain,34.5
2024-08-19,Rain,34.7
2024-08-20,Rain,34.3
2024-08-21,Rain,31.8
2024-08-22,Rain,32.6
2024-08-23,Sunny,32.2
2024-08-24,Rain,31.6
2024-08-25,Rain,32.0
2024-08-26,Rain,32.6
2024-08-27,Rain,27.7
2024-08-28,Rain,32.8
2024-08-29,Rain,33.6
2024-08-30,Sunny,34.1
2024-08-31,Cloudy,32.6
2024-09-01,Cloudy,31.6
2024-09-02,Cloudy,31.6
2024-09-03,Rain,30.2
2024-09-04,Sunny,33.3
2024-09-05,Rain,32.8
2024-09-06,Rain,31.8
2024-09-07,Rain,31.2
2024-09-08,Cloudy,33.2
2024-09-09,Rain,33.0
2024-09-10,Sunny,36.0
2024-09-11,Rain,35.2
2024-09-12,Rain,32.5
2024-09-13,Rain,32.5
2024-09-14,Rain,33.1
2024-09-15,Sunny,34.1
2024-09-16,Cloudy,30.7
2024-09-17,Rain,34.9
2024-09-18,Rain,33.9
2024-09-19,Rain,33.7
2024-09-20,Rain,27.1
2024-09-21,Rain,24.8
2024-09-22,Rain,24.6
2024-09-23,Cloudy,24.3
2024-09-24,Cloudy,25.5
2024-09-25,Cloudy,26.9
2024-09-26,Rain,27.4
2024-09-27,Cloudy,26.3
2024-09-28,Rain,27.0
2024-09-29,Cloudy,26.5
2024-09-30,Cloudy,26.0
2024-10-01,Rain,24.2
2024-10-02,Cloudy,18.1
2024-10-03,Rain,18.3
2024-10-04,Sunny,21.7
2024-10-05,Cloudy,22.1
2024-10-06,Rain,18.5
2024-10-07,Rain,19.6
2024-10-08,Cloudy,21.1
2024-10-09,Cloudy,22.6
2024-10-10,Rain,21.6
2024-10-11,Sunny,22.5
2024-10-12,Sunny,21.8
2024-10-13,Cloudy,23.2
2024-10-14,Rain,20.2
2024-10-15,Rain,21.6
2024-10-16,Cloudy,22.8
2024-10-17,Cloudy,23.2
2024-10-18,Rain,23.9
2024-10-19,Rain,20.4
2024-10-20,Cloudy,16.3
2024-10-21,Rain,18.6
2024-10-22,Rain,19.3
2024-10-23,Rain,16.8
2024-10-24,Sunny,16.5
2024-10-25,Cloudy,20.3
2024-10-26,Cloudy,22.5
2024-10-27,Rain,19.3
2024-10-28,Rain,19.7
2024-10-29,Rain,19.0
2024-10-30,Sunny,19.1
2024-10-31,Cloudy,21.1
2024-11-01,Rain,15.3
2024-11-02,Rain,22.5
2024-11-03,Cloudy,21.5
2024-11-04,Rain,19.7
2024-11-05,Cloudy,14.3
2024-11-06,Sunny,11.6
2024-11-07,Sunny,14.1
2024-11-08,Cloudy,17.6
2024-11-09,Cloudy,18.4
2024-11-10,Cloudy,18.5
2024-11-11,Sunny,19.1
2024-11-12,Sunny,17.6
2024-11-13,Cloudy,20.0
2024-11-14,Rain,19.3
2024-11-15,Rain,17.6
2024-11-16,Rain,21.7
2024-11-17,Rain,15.1
2024-11-18,Cloudy,6.1
2024-11-19,Cloudy,12.0
2024-11-20,Cloudy,11.0
2024-11-21,Rain,13.6
2024-11-22,Sunny,10.4
2024-11-23,Cloudy,11.2
2024-11-24,Cloudy,12.9
